,Left Hand Side,right hand side,support,confidences,lift
0,light cream,chicken,0.004532728969470737,0.29059829059829057,4.84395061728395
1,mushroom cream sauce,escalope,0.005732568990801226,0.3006993006993007,3.790832696715049
2,pasta,escalope,0.005865884548726837,0.3728813559322034,4.700811850163794
3,fromage blanc,honey,0.003332888948140248,0.2450980392156863,5.164270764485569
4,herb & pepper,ground beef,0.015997866951073192,0.3234501347708895,3.2919938411349285
5,tomato sauce,ground beef,0.005332622317024397,0.3773584905660377,3.840659481324083
6,light cream,olive oil,0.003199573390214638,0.20512820512820515,3.1147098515519573
7,whole wheat pasta,olive oil,0.007998933475536596,0.2714932126696833,4.122410097642296
8,pasta,shrimp,0.005065991201173177,0.3220338983050847,4.506672147735896
9,avocado,milk,0.003332888948140248,0.41666666666666663,3.215449245541838
10,milk,burgers,0.0037328356219170776,0.27999999999999997,3.211437308868501
11,turkey,burgers,0.0030662578322890282,0.27058823529411763,3.1034898363014927
12,turkey,burgers,0.003199573390214638,0.2823529411764706,3.2384241770102533
13,frozen vegetables,tomatoes,0.0030662578322890282,0.2987012987012987,4.367560314928736
14,ground beef,spaghetti,0.0030662578322890282,0.6764705882352942,3.8853031258445188
15,ground beef,milk,0.0038661511798426876,0.40845070422535207,3.152046020981858
16,light cream,nan,0.004532728969470737,0.29059829059829057,4.84395061728395
17,chicken,olive oil,0.0035995200639914677,0.24324324324324323,3.693456614509246
18,chicken,olive oil,0.0034662045060658577,0.20155038759689922,3.0603835169318647
19,chocolate,shrimp,0.005332622317024397,0.23255813953488375,3.2545123221103784
20,herb & pepper,ground beef,0.003999466737768298,0.4411764705882354,4.4901827759597746
21,chocolate,milk,0.003999466737768298,0.3947368421052632,3.0462150747238472
22,ground beef,spaghetti,0.004799360085321957,0.5714285714285714,3.2819951870487856
23,eggs,herb & pepper,0.0041327822956939075,0.2066666666666667,4.178454627133872
24,eggs,spaghetti,0.0037328356219170776,0.5283018867924528,3.0342974370828397
25,mushroom cream sauce,escalope,0.005732568990801226,0.3006993006993007,3.790832696715049
26,pasta,escalope,0.005865884548726837,0.3728813559322034,4.700811850163794
27,ground beef,herb & pepper,0.003199573390214638,0.23076923076923078,4.665768194070081
28,fromage blanc,honey,0.003332888948140248,0.2450980392156863,5.1788180060756694
29,green tea,tomatoes,0.003332888948140248,0.2314814814814815,3.38468341635983
30,spaghetti,ground beef,0.008665511265164644,0.31100478468899523,3.165328208890303
31,milk,olive oil,0.004799360085321957,0.20338983050847456,3.088314005352364
32,soup,milk,0.003999466737768298,0.5,3.858539094650206
33,milk,frozen vegetables,0.0041327822956939075,0.29523809523809524,3.0973160173160172
34,mineral water,frozen vegetables,0.007199040127982935,0.30508474576271183,3.200616332819722
35,spaghetti,olive oil,0.005732568990801226,0.20574162679425836,3.1240241752707125
36,spaghetti,shrimp,0.005999200106652446,0.21531100478468898,3.0131489680782684
37,shrimp,tomatoes,0.003999466737768298,0.24000000000000002,3.5092397660818717
38,spaghetti,tomatoes,0.006665777896280496,0.23923444976076558,3.4980460188216425
39,grated cheese,ground beef,0.005332622317024397,0.3225806451612903,3.283144395325426
40,ground beef,tomatoes,0.0030662578322890282,0.2072072072072072,3.0297490472929067
41,herb & pepper,ground beef,0.0035995200639914677,0.3913043478260869,3.9825968969382335
42,herb & pepper,ground beef,0.006665777896280496,0.39062500000000006,3.975682666214383
43,herb & pepper,ground beef,0.015997866951073192,0.3234501347708895,3.2919938411349285
44,herb & pepper,ground beef,0.006399146780429276,0.3934426229508197,4.004359721511667
45,ground beef,olive oil,0.004932675643247567,0.22424242424242427,3.40494417862839
46,ground beef,milk,0.003999466737768298,0.4109589041095891,3.1714019956029094
47,tomato sauce,ground beef,0.005332622317024397,0.3773584905660377,3.840659481324083
48,pepper,ground beef,0.003332888948140248,0.33783783783783783,3.4384282518610876
49,ground beef,spaghetti,0.005999200106652446,0.5232558139534884,3.005315360233627
50,tomato sauce,ground beef,0.0030662578322890282,0.2169811320754717,5.535970992170453
51,light cream,mineral water,0.003199573390214638,0.20512820512820515,3.4345238095238098
52,light cream,nan,0.003199573390214638,0.20512820512820515,3.121027721433401
53,shrimp,milk,0.003199573390214638,0.3934426229508197,3.0362274843149164
54,milk,soup,0.0035995200639914677,0.2109375,4.174781497361478
55,milk,olive oil,0.007199040127982935,0.20300751879699247,3.0825089038385434
56,milk,soup,0.0030662578322890282,0.21904761904761905,4.335293378565146
57,whole wheat pasta,milk,0.003999466737768298,0.4545454545454546,3.5077628133183696
58,mineral water,olive oil,0.005199306759098787,0.22543352601156072,3.4230301186492245
59,whole wheat pasta,olive oil,0.0038661511798426876,0.4027777777777778,6.115862573099416
60,whole wheat pasta,nan,0.007998933475536596,0.2714932126696833,4.13077198425009
61,pasta,nan,0.005065991201173177,0.3220338983050847,4.515095833993347
62,spaghetti,olive oil,0.005065991201173177,0.20105820105820105,3.0529100529100526
63,tomatoes,spaghetti,0.004399413411545127,0.6111111111111112,3.5099115194827295
64,whole wheat rice,tomatoes,0.0030662578322890282,0.2169811320754717,3.1726617382029496
65,avocado,nan,0.003332888948140248,0.41666666666666663,3.215449245541838
66,milk,burgers,0.0037328356219170776,0.27999999999999997,3.211437308868501
67,turkey,burgers,0.0030662578322890282,0.27058823529411763,3.1034898363014927
68,turkey,burgers,0.003199573390214638,0.2823529411764706,3.2384241770102533
69,frozen vegetables,nan,0.0030662578322890282,0.2987012987012987,4.367560314928736
70,ground beef,nan,0.0030662578322890282,0.6764705882352942,3.8853031258445188
71,ground beef,nan,0.0038661511798426876,0.40845070422535207,3.152046020981858
72,chicken,nan,0.0035995200639914677,0.24324324324324323,3.700948412915958
73,chicken,nan,0.0034662045060658577,0.20155038759689922,3.0665911914083996
74,eggs,mineral water,0.003999466737768298,0.20000000000000004,3.7979746835443047
75,mineral water,ground beef,0.003332888948140248,0.34246575342465757,3.4855300087358976
76,ground beef,spaghetti,0.0030662578322890282,0.5348837209302326,3.0721001460165964
77,mineral water,milk,0.003999466737768298,0.4109589041095891,3.1714019956029094
78,chocolate,milk,0.0034662045060658577,0.44067796610169485,3.4007463207086555
79,mineral water,shrimp,0.003199573390214638,0.32876712328767127,4.600899611531385
80,chocolate,nan,0.005332622317024397,0.23255813953488375,3.260595522712454
81,herb & pepper,ground beef,0.003999466737768298,0.4411764705882354,4.4901827759597746
82,chocolate,nan,0.003999466737768298,0.3947368421052632,3.0462150747238472
83,chocolate,mineral water,0.0038661511798426876,0.23577235772357724,3.947608159117306
84,mineral water,shrimp,0.0034662045060658577,0.21848739495798317,3.0576006522011783
85,ground beef,nan,0.004799360085321957,0.5714285714285714,3.2819951870487856
86,eggs,milk,0.0037328356219170776,0.411764705882353,3.177620430888405
87,eggs,herb & pepper,0.0041327822956939075,0.2066666666666667,4.178454627133872
88,eggs,nan,0.0037328356219170776,0.5283018867924528,3.0342974370828397
89,ground beef,herb & pepper,0.003199573390214638,0.23076923076923078,4.665768194070081
90,milk,mineral water,0.003199573390214638,0.22429906542056074,3.7555073431241657
91,green tea,nan,0.003332888948140248,0.2314814814814815,3.38468341635983
92,ground beef,mineral water,0.0037328356219170776,0.22047244094488186,4.593788276465442
93,ground beef,spaghetti,0.0030662578322890282,0.5348837209302326,3.0721001460165964
94,ground beef,mineral water,0.004399413411545127,0.25984251968503935,4.350622187851519
95,spaghetti,ground beef,0.008665511265164644,0.31100478468899523,3.165328208890303
96,olive oil,mineral water,0.003332888948140248,0.29411764705882354,6.12826797385621
97,soup,mineral water,0.0030662578322890282,0.3833333333333333,7.987175925925926
98,mineral water,frozen vegetables,0.004532728969470737,0.28813559322033894,3.0228043143297376
99,milk,nan,0.004799360085321957,0.20338983050847456,3.094578333963626
100,soup,nan,0.003999466737768298,0.5,3.858539094650206
101,milk,nan,0.0041327822956939075,0.29523809523809524,3.0973160173160172
102,mineral water,nan,0.007199040127982935,0.30508474576271183,3.200616332819722
103,shrimp,mineral water,0.003332888948140248,0.2,3.3486607142857148
104,mineral water,tomatoes,0.0030662578322890282,0.2555555555555556,3.7366904916612524
105,spaghetti,nan,0.005732568990801226,0.20574162679425836,3.1303609383037156
106,spaghetti,nan,0.005999200106652446,0.21531100478468898,3.0187810222242093
107,shrimp,nan,0.003999466737768298,0.24000000000000002,3.5092397660818717
108,spaghetti,nan,0.006665777896280496,0.23923444976076558,3.4980460188216425
109,grated cheese,ground beef,0.005332622317024397,0.3225806451612903,3.283144395325426
110,ground beef,nan,0.0030662578322890282,0.2072072072072072,3.0297490472929067
111,herb & pepper,ground beef,0.0035995200639914677,0.3913043478260869,3.9825968969382335
112,herb & pepper,ground beef,0.006665777896280496,0.39062500000000006,3.975682666214383
113,herb & pepper,ground beef,0.006399146780429276,0.3934426229508197,4.004359721511667
114,ground beef,mineral water,0.004399413411545127,0.2,3.3486607142857148
115,ground beef,nan,0.004932675643247567,0.22424242424242427,3.4118507591124225
116,ground beef,nan,0.003999466737768298,0.4109589041095891,3.1714019956029094
117,ground beef,mineral water,0.0030662578322890282,0.2169811320754717,3.63298096361186
118,ground beef,mineral water,0.0030662578322890282,0.21100917431192662,3.532990661861075
119,ground beef,mineral water,0.0030662578322890282,0.26136363636363635,4.3760907061688314
120,pepper,ground beef,0.003332888948140248,0.33783783783783783,3.4384282518610876
121,ground beef,nan,0.005999200106652446,0.5232558139534884,3.005315360233627
122,tomato sauce,ground beef,0.0030662578322890282,0.2169811320754717,5.535970992170453
123,light cream,nan,0.003199573390214638,0.20512820512820515,3.4345238095238098
124,mineral water,olive oil,0.003332888948140248,0.211864406779661,3.216993755575379
125,milk,mineral water,0.003332888948140248,0.2380952380952381,3.9865008503401365
126,shrimp,nan,0.003199573390214638,0.3934426229508197,3.0362274843149164
127,milk,nan,0.0035995200639914677,0.2109375,4.174781497361478
128,milk,nan,0.007199040127982935,0.20300751879699247,3.088761457396025
129,milk,nan,0.0030662578322890282,0.21904761904761905,4.335293378565146
130,whole wheat pasta,nan,0.003999466737768298,0.4545454545454546,3.5077628133183696
131,mineral water,nan,0.005199306759098787,0.22543352601156072,3.429973384609973
132,whole wheat pasta,nan,0.0038661511798426876,0.4027777777777778,6.128267973856209
133,spaghetti,nan,0.005065991201173177,0.20105820105820105,3.0591025682303568
134,tomatoes,nan,0.004399413411545127,0.6111111111111112,3.5099115194827295
135,whole wheat rice,nan,0.0030662578322890282,0.2169811320754717,3.1726617382029496
136,eggs,nan,0.003999466737768298,0.20000000000000004,3.7979746835443047
137,mineral water,ground beef,0.003332888948140248,0.34246575342465757,3.4855300087358976
138,ground beef,nan,0.0030662578322890282,0.5348837209302326,3.0721001460165964
139,mineral water,nan,0.003999466737768298,0.4109589041095891,3.1714019956029094
140,chocolate,nan,0.0034662045060658577,0.44067796610169485,3.4007463207086555
141,mineral water,nan,0.003199573390214638,0.32876712328767127,4.609499423889387
142,chocolate,nan,0.0038661511798426876,0.23577235772357724,3.947608159117306
143,mineral water,nan,0.0034662045060658577,0.21848739495798317,3.063315793607162
144,eggs,nan,0.0037328356219170776,0.411764705882353,3.177620430888405
145,milk,nan,0.003199573390214638,0.22429906542056074,3.7555073431241657
146,ground beef,nan,0.0037328356219170776,0.22047244094488186,4.593788276465442
147,ground beef,nan,0.0030662578322890282,0.5348837209302326,3.0721001460165964
148,ground beef,nan,0.004399413411545127,0.25984251968503935,4.350622187851519
149,olive oil,nan,0.003332888948140248,0.29411764705882354,6.12826797385621
150,soup,nan,0.0030662578322890282,0.3833333333333333,7.987175925925926
151,mineral water,nan,0.004532728969470737,0.28813559322033894,3.0228043143297376
152,shrimp,nan,0.003332888948140248,0.2,3.3486607142857148
153,mineral water,nan,0.0030662578322890282,0.2555555555555556,3.7366904916612524
154,ground beef,nan,0.004399413411545127,0.2,3.3486607142857148
155,ground beef,nan,0.0030662578322890282,0.2169811320754717,3.63298096361186
156,ground beef,nan,0.0030662578322890282,0.21100917431192662,3.532990661861075
157,ground beef,nan,0.0030662578322890282,0.26136363636363635,4.3760907061688314
158,mineral water,nan,0.003332888948140248,0.211864406779661,3.223519097878777
159,milk,nan,0.003332888948140248,0.2380952380952381,3.9865008503401365
